id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
641	What wines are produced with Encruzado grape variety?	Full bodied dry whites	"Full bodied sweet, noble-rot affected whites"	Full bodied dry reds	Light and fragrant rosé	Full bodied dry whites	"wine, Portugal, Location, Northern Portugal, Europe, grapes"	4	Multiple	11
642	Which of the following is NOT an area within Dão region?	Dão Corgo	Alva	Silgueiros	Castendo	Dão Corgo	"wine, Portugal, Location, Northern Portugal, Europe"	4	Multiple	11
643	Which of the following is NOT an area within Dão region?	Terras de Silgueiros	Terras de Azurara	Serra da Estrela	Besteiros	Terras de Silgueiros	"wine, Portugal, Location, Northern Portugal, Europe"	4	Multiple	11
644	What is the climate in Dão?	Temperate	Continental	Maritime	Mediterranean 	Temperate	"wine, Portugal, Location, Northern Portugal, Europe"	4	Multiple	11
645	What country is Dão region located in?	Portugal	Italy	Greece	Spain	Portugal	"wine, Portugal, Location, Northern Portugal, Europe"	3	Multiple	11
646	What is the climate in the Bairrada region of Portugal?	Maritime	Continental	Mediterranean	Tropical	Maritime	"wine, Portugal, Location, Northern Portugal, Europe"	4	Multiple	11
647	What is the dominant grape variety in the Bairrada region?	Baga	Touriga Nacional 	Tinta Franca 	Bical	Baga	"wine, Portugal, Location, Northern Portugal, Europe, grapes"	4	Multiple	11
648	What is the dominant white grape variety in the Bairrada region?	Bical	Alvarinho	Baga	Encruzado 	Bical	"wine, Portugal, Location, Northern Portugal, Europe, grapes"	4	Multiple	11
649	What grape is often called “Maria Gomes” in the Bairrada region?	Fernão Pires	Bical	Touriga Nacional 	Tinta Franca 	Fernão Pires	"wine, Portugal, Location, Northern Portugal, Europe, grapes"	4	Multiple	11
650	What is the dominant white white grape variety in the Tejo region?	Fernão Pires	Bical	Arinto 	Trincadeira 	Fernão Pires	"wine, Portugal, Location, Europe, grapes, Central Portugal"	4	Multiple	11
651	Which of the following is not a subregion of the Tejo region?	Besteiros	Almeirim	Chamusca	Tomar	Besteiros	"wine, Portugal, Location, Europe, Central Portugal"	4	Multiple	11
652	Which of the following is not a subregion of the Tejo region?	Tagus	Coruche	Santarém	Almeirim	Tagus	"wine, Portugal, Location, Europe, Central Portugal"	4	Multiple	11
653	What region is located North-East of Lisboa?	Tejo	Palmela	Alentejo	Minho	Tejo	"wine, Portugal, Location, Europe, Central Portugal"	4	Multiple	11
654	What is the climate in the Palmela region?	Warm maritime	Cold continental	Warm continental	Hot mediterranean	Warm maritime	"wine, Portugal, Location, Europe,Southern Portugal"	4	Multiple	11
655	What country can you find the Palmela region in?	Portugal	Germany	Moldavia	Romania	Portugal	"wine, Portugal, Location, Europe,Southern Portugal"	3	Multiple	11
656	What is the most planted white grape variety in Portugal?	Fernao Pires 	Alvarinho	Bical	Arinto	Fernao Pires 	"wine, Portugal, Location, Europe,Southern Portugal, grapes"	3	Multiple	11
657	What Portuguese region is famous for its Moscatel de Setubal wine?	Palmela	Alentejo	Tejo	Duoro	Palmela	"wine, Portugal, Location, Europe,Southern Portugal, fortified"	3	Multiple	11
658	What kind of wine is Moscatel de Setubal?	Dessert wine	Full bodied red	Sparkling	Light bodied white	Dessert wine	"wine, Portugal, Location, Europe,Southern Portugal, fortified"	3	Multiple	11
659	What is the climate in the Alentejo region?	Continental	Maritime	Mediterranean	Subtropical	Continental	"wine, Portugal, Location, Europe,Southern Portugal"	3	Multiple	11
660	How is Tempranillo called in the Alentejo region?	Aragonez	Trincadeira 	Touriga Nacional 	Periquita	Aragonez	"wine, Portugal, Location, Europe,Southern Portugal, grapes"	3	Multiple	11
661	What is other popular name of Tinta Amarela grape variety?	Trincadeira	Tempranillo	Touriga Nacional 	Periquita	Trincadeira	"wine, Portugal, Location, Europe, grapes"	4	Multiple	11
662	What is another popular name of Trincadeira grape variety?	Tinta Amarela	Arinto 	Tinta Franca 	Castelao 	Tinta Amarela	"wine, Portugal, Location, Europe, grapes"	4	Multiple	11
663	What is the most widely planted grape variety in the Alentejo region?	Trincadeira	Aragonez	Tinta Franca 	Roupeiro 	Trincadeira	"wine, Portugal, Location, Europe,Southern Portugal, grapes"	4	Multiple	11
664	What is the most widely planted white grape variety in the Alentejo region?	Roupeiro 	Trincadeira	Antao Vaz 	Arinto 	Roupeiro 	"wine, Portugal, Location, Europe,Southern Portugal, grapes"	4	Multiple	11
665	What is the lowest quality level of Italian wines?	Vino da Tavola 	IGT	DOCG	Classico	Vino da Tavola 	"wine, Italy, Europe, Location"	3	Multiple	11
666	What is the highest quality level of Italian wines?	DOCG	Riserva	Classico	IGT	DOCG	"wine, Italy, Europe, Location"	3	Multiple	11
667	When was IGT quality level introduced in Italy?	1992	1929	1977	1949	1992	"wine, Italy, Europe, Location"	3	Multiple	11
668	What country uses Indicazione Geografica Tipica quality level for their wines?	Italy	Spain	Portugal	Greece	Italy	"wine, Italy, Europe, Location"	3	Multiple	11
669	How many DOCG areas are in Italy?	36	20	50	12	36	"wine, Italy, Europe, Location"	4	Multiple	11
670	What is the most widely planted grape variety in Italy?	Sangiovese	Barbera 	Trebbiano	Montepulciano	Sangiovese	"wine, Italy, Europe, Location, grapes"	3	Multiple	11
671	Which of the following is in the top 5 most widely planted grape varieties in Italy?	Glera	Primitivo	Chardonnay	Barbera	Glera	"wine, Italy, Europe, Location, grapes"	3	Multiple	11
672	When current wine laws (e.g. establishing DOC/DOCG quality levels) in Italy were established?	1963	1992	1928	1946	1963	"wine, Italy, Europe, Location"	4	Multiple	11
673	What is the estimated percentage of plantings of Sangiovese in Italy?	10%	5%	20%	25%	10%	"wine, Italy, Europe, Location, grapes"	4	Multiple	11
674	What does Enoteca mean in Italy?	Wine shop	Négociant	Domaine	Cooperative	Wine shop	"wine, Italy, Europe, Location"	3	Multiple	11
675	What is the climate in Piedmont?	Continental	Mediterranean maritime	Maritime	Mediterranean 	Continental	"wine, Italy, Europe, Location, Piemonte"	3	Multiple	11
676	What is the average annual rainfall in Piedmont?	850 mm	700 mm	950 mm	1050 mm	850 mm	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
677	What is the most planted grape variety in Piedmont?	Barbera	Nebbiolo	Dolcetto	Moscato	Barbera	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
678	"What region is famous for its wines made with Moscato, Arneis and Cortese grapes?"	Piedmont	Tuscany	Puglia	Sicily	Piedmont	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
679	What Italian region is famous for its wines based on Nebbiolo grapes?	Piedmont	Tuscany	Sardinia	Basilicata	Piedmont	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
680	What Italian grape variety took its name from the Italian word for “fog”?	Nebbiolo	Sangiovese	Vermentino	Barbera	Nebbiolo	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
681	Where would it be the easiest to find wines made with Grignolino grapes?	Italy	Spain	Portugal	Chile	Italy	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
682	Where would it be the easiest to find wines made with Nebbiolo grapes?	Italy	Greece	Bulgaria	Australia	Italy	"wine, Italy, Europe, Location, Piemonte, grapes"	2	Multiple	11
683	Which of the following grape varieties ripens the earliest?	Dolcetto	Barbera	Nebbiolo	Sangiovese	Dolcetto	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
684	How many percent of Piedmont wines are produced with Nebbiolo grapes?	3%	10%	25%	48%	3%	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
685	What region has the largest vineyard area promoted to DOC and DOCG?	Piedmont	Tuscany	Veneto	Lombardia	Piedmont	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
686	How much Nebbiolo grapes are required in Barolo DOCG wines?	100%	90%	80%	70%	100%	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
687	How much Nebbiolo grapes are required in Barbaresco DOCG wines?	100%	95%	90%	80%	100%	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
688	What grape variety is used to be blended with Nebbiolo to soften its tannins?	Arneis	Sangiovese	Vermentino	Moscato	Arneis	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
689	What grape variety is used to be blended with Nebbiolo to add color?	Barbera	Sangiovese	Grignolino 	Arneis	Barbera	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
690	What commune is not part of Barolo DOCG?	Tanaro	Serralunga 	La Morra	Barolo	Tanaro	"wine, Italy, Europe, Location, Piemonte"	3	Multiple	11
691	How many hectares are planted in Barolo DOCG?	Around 1800	Around 3000	Around 1200	Around 4000	Around 1800	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
692	How many hectares are planted in Barbaresco DOCG?	Around 700	Around 1500	Around 2000	Around 4000	Around 700	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
693	"Castiglione Falletto, Serralunga and Monforte are part of…"	Barolo	Barbaresco	Roero	Dogliani	Barolo	"wine, Italy, Europe, Location, Piemonte"	3	Multiple	11
694	What is the minimum requirement of wood aging of Barolo DOCG wines?	2 years	3 years	2.5 years	1.5 years	2 years	"wine, Italy, Europe, Location, Piemonte"	3	Multiple	11
695	What is the minimum requirement of bottle aging of Barolo DOCG wines?	1 year	6 months	2 years	3 years	1 year	"wine, Italy, Europe, Location, Piemonte"	3	Multiple	11
696	Where is Langhe DOC located?	Piedmont	Marche	Basilicata	Sicily	Piedmont	"wine, Italy, Europe, Location, Piemonte"	3	Multiple	11
697	What grape variety is used in Barbera d’Asti?	Barbera	Asti	Nebbiolo	Sangiovese	Barbera	"wine, Italy, Europe, Location, Piemonte, grapes"	2	Multiple	11
698	What grape variety is used in Barbera d’Alba?	Barbera	Alba	Asti	Veneto	Barbera	"wine, Italy, Europe, Location, Piemonte, grapes"	2	Multiple	11
699	What is the minimum ABV for Dolcetto DOC wines?	11.5%	12%	12.5%	13%	11.5%	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
700	What is the minimum ABV for Dolcetto Superiore DOC wines?	12.5%	11.5%	12%	13%	12.5%	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
701	What is the minimum ABV for Barbera d’Asti DOC wines?	11.5%	12.5%	13%	14%	11.5%	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
702	What is the minimum ABV for Barbera d’Asti Superiore DOC wines?	12.5%	11%	13.5%	15%	12.5%	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
703	What is the dominant grape used to produce red Roero DOCG wines?	Nebbiolo	Barbera	Dolcetto	Arneis	Nebbiolo	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
704	What is the dominant grape used to produce white Roero DOCG wines?	Arneis	Nebbiolo	Moscato	Vermentino	Arneis	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
705	What is the minimum amount of Nebbiolo grapes in red Roero DOCG wines?	95%	100%	80%	75%	95%	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
706	What is the minimum ABV for Roero Arneis Spumante wines?	11.5%	10%	8.5%	12.5%	11.5%	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
707	What is the grape variety used to produce Roero Arneis Spumante wines?	Arneis	Roero	Nebbiolo	Barbera	Arneis	"wine, Italy, Europe, Location, Piemonte, grapes"	3	Multiple	11
708	Where can you find Brachetto d’Acqui wines?	Piedmont	Puglia	Alto Adige	Campania	Piedmont	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
709	What is the usual style of Brachetto d’Acqui wines?	Low alcohol red frizzante	Low alcohol sweet wines	White sweet or semi-sweet sparkling	Dry full bodied red	Low alcohol red frizzante	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
710	What is the minimum amount of Brachetto grapes in Brachetto d’Acqui wines?	100%	90%	85%	70%	100%	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
711	What is Brachetto?	Black-skinned Italian grape	Commune of Piedmonte	Subregion of Tuscany	Another name for vin santo.	Black-skinned Italian grape	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
712	What style of wines is produced in Gavi DOCG?	"Dry, light, fruity and mineral whites"	"Light, no-oaked reds"	Full bodied and oaked reds	Sweet whites made with passito method	"Dry, light, fruity and mineral whites"	"wine, Italy, Europe, Location, Piemonte"	3	Multiple	11
713	Where can you find Gavi DOCG?	Piedmont	Umbria	Friuli	Marche	Piedmont	"wine, Italy, Europe, Location, Piemonte"	3	Multiple	11
714	Where Moscato d’Asti is produced?	Piedmont	Abruzzo	Calabria	Veneto	Piedmont	"wine, Italy, Europe, Location, Piemonte, sparkling"	2	Multiple	11
715	What grape is used to produce Moscato d’Asti wine?	Moscato	Riesling	Arneis	Sangiovese	Moscato	"wine, Italy, Europe, Location, Piemonte, sparkling, grapes"	2	Multiple	11
716	What style of wine is Moscato d’Asti?	"Sparkling, sweet, low alcohol, white"	"Sparkling, brut zero, white"	"Light bodied, dry white"	"Frizzante, light, low alcohol red"	"Sparkling, sweet, low alcohol, white"	"wine, Italy, Europe, Location, Piemonte, sparkling"	2	Multiple	11
717	What grape variety is used to produce wines in Gattinara DOCG?	Nebbiolo	Gattinara	Sangiovese	Arneis	Nebbiolo	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
718	Where Gattinara DOCG is located?	Piedmont	Tuscany	Campania	Marche	Piedmont	"wine, Italy, Europe, Location, Piemonte"	4	Multiple	11
719	What grape variety is used to produce Gattinara DOCG apart from Nebbiolo?	Bonarda di Gattinara	Barbera	Dolcetto	Primitivo	Bonarda di Gattinara	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
720	What grapes variety is used to produce Oltrepo Pavese DOC wines?	Barbera	Dolcetto	Nebbiolo	Sangiovese	Barbera	"wine, Italy, Europe, Location, Piemonte, grapes"	4	Multiple	11
721	Where is Oltrepo Pavese DOC located?	Lombardy	Alto Adige	Veneto	Lazio	Lombardy	"wine, Italy, Europe, Location, Lombardy"	4	Multiple	11
722	What is the climate in the Veneto region?	Continental	Maritime	Mediterranean	Subcontinental	Continental	"wine, Italy, Europe, Location, Veneto"	3	Multiple	11
723	What moderates the climate in the Veneto region?	Lake Garda	Eastern wind from France	High number of sunshine hours	Volcanic solls	Lake Garda	"wine, Italy, Europe, Location, Veneto, vitis, production"	4	Multiple	11
724	What is another name of Ugni Blanc grape variety?	Trebbiano	Garganega	Friulano	Pinot Blanc	Trebbiano	"wine, Italy, grapes"	3	Multiple	11
725	What is another name of Trebbiano grape variety?	Ugni Blanc	Glera	Pinot Blanc	Riesling Italico	Ugni Blanc	"wine, Italy, grapes"	3	Multiple	11
726	What is the name of a red dry wine made with grapes dried on straw mats?	Amarone della Velapolicella	Barolo	Chianti Classico	Recioto di Soave	Amarone della Velapolicella	"wine, Italy, Europe, Location, Veneto, vini, production"	3	Multiple	11
727	What wine is used with the appassimento method?	Amarone della Velapolicella	Bardolino	Primitivo de Manduria	Super Toscan	Amarone della Velapolicella	"wine, Italy, Europe, Location, Veneto, vini, production"	3	Multiple	11
728	What is called the wine made with unpressed grape skins of Amarone?	Ripasso della Valpolicella 	Recioto della Velapolicella	Recioto di Soave	Vin Santo	Ripasso della Valpolicella 	"wine, Italy, Europe, Location, Veneto"	3	Multiple	11
729	What is the minimal ABV for Valpolicella Superiore wines?	12%	12.5%	13%	13.5%	12%	"wine, Italy, Europe, Location, Veneto"	4	Multiple	11
730	What grape variety is traditionally used to produce Valpolicella wines?	Corvina	Sangiovese	Nebbiolo	Montepulciano	Corvina	"wine, Italy, Europe, Location, Veneto, grapes"	3	Multiple	11
731	What grape variety is traditionally used to produce Valpolicella wines?	Rondinella 	Trebbiano	Vermentino	Sangiovese	Rondinella 	"wine, Italy, Europe, Location, Veneto, grapes"	3	Multiple	11
732	What grape variety is traditionally used to produce Valpolicella Classico wines?	Molinara	Barbera	Garganega	Primitivo	Molinara	"wine, Italy, Europe, Location, Veneto, grapes"	3	Multiple	11
